id,action block 1,context,simplified sentence 1,partial start time 1,owner 1,original action 1,most similar action 1,speed 1,duration 1,rotation 1,translation 1,target 1,prop 1,location modifier 1,direction modifier 1,manner 1,emotion 1,Action Block 2,simplified sentence 2,partial start time 2,owner 2,original action 2,most similar action 2,speed 2,duration 2,rotation 2,translation 2,target 2,prop 2,location modifier 2,direction modifier 2,manner 2,emotion 2,Action Block 3,simplified sentence 3,partial start time 3,owner 3,original action 3,most similar action 3,speed 3,duration 3,rotation 3,translation 3,target 3,prop 3,location modifier 3,direction modifier 3,manner 3,emotion 3,Action Block 4,simplified sentence 4,partial start time 4,owner 4,original action 4,most similar action 4,speed 4,duration 4,rotation 4,translation 4,target 4,prop 4,location modifier 4,direction modifier 4,manner 4,emotion 4,Action Block 5,simplified sentence 5,partial start time 5,owner 5,original action 5,most similar action 5,speed 5,duration 5,rotation 5,translation 5,target 5,prop 5,location modifier 5,direction modifier 5,manner 5,emotion 5,Action Block 6,simplified sentence 6,partial start time 6,owner 6,original action 6,most similar action 6,speed 6,duration 6,rotation 6,translation 6,target 6,prop 6,location modifier 6,direction modifier 6,manner 6,emotion 6,Action Block 7,simplified sentence 7,partial start time 7,owner 7,original action 7,most similar action 7,speed 7,duration 7,rotation 7,translation 7,target 7,prop 7,location modifier 7,direction modifier 7,manner 7,emotion 7,Action Block 8,simplified sentence 8,partial start time 8,owner 8,original action 8,most similar action 8,speed 8,duration 8,rotation 8,translation 8,target 8,prop 8,location modifier 8,direction modifier 8,manner 8,emotion 8,Action Block 9,simplified sentence 9,partial start time 9,owner 9,original action 9,most similar action 9,speed 9,duration 9,rotation 9,translation 9,target 9,prop 9,location modifier 9,direction modifier 9,manner 9,emotion 9,Action Block 10,simplified sentence 10,partial start time 10,owner 10,original action 10,most similar action 10,speed 10,duration 10,rotation 10,translation 10,target 10,prop 10,location modifier 10,direction modifier 10,manner 10,emotion 10,Action Block 11,simplified sentence 11,partial start time 11,owner 11,original action 11,most similar action 11,speed 11,duration 11,rotation 11,translation 11,target 11,prop 11,location modifier 11,direction modifier 11,manner 11,emotion 11,Action Block 12,simplified sentence 12,partial start time 12,owner 12,original action 12,most similar action 12,speed 12,duration 12,rotation 12,translation 12,target 12,prop 12,location modifier 12,direction modifier 12,manner 12,emotion 12
11,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,"BEAUTICIAN-BOT
pre-recorded
        Just a trim? Uh huh.",BEAUTICIAN-BOT paints Wall-E's face with hideous looking make-up.,0,Beautician-bot.,Paints.,paint,neutral,neutral,Yes,No,Wall-E.,Make-up.,Null.,Null.,Null.,Null.,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,BEAUTICIAN-BOT holds up a mirror for Wall-E.,1,Beautician-bot.,Holds.,,fast ,neutral,Yes,No,Wall-E.,Mirror.,Null.,Up.,Null.,Null.,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,Wall-E gasps at the mirror.,1,Wall-E.,Gasps.,talk,fast ,short,No,No,Null.,Mirror.,Null.,Null.,Null.,Null.,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,,She paints Wall-E's face with hideous looking make-up. Holds up a mirror. Wall-E gasps.,,,,,,,,,,,,,,,
12,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,INSIDE WITH EVE,Eve is washed.,0,Eve.,Washed.,wash,neutral,neutral,Yes,No,Null.,Null.,Inside.,Null.,Null.,Null.,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,Eve is scrubbed.,0,Eve.,Scrubbed.,wash,neutral,neutral,Yes,No,Null.,Null.,Inside.,Null.,Null.,Null.,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,A CIRCULAR BUFFER cleans between Eve's head and body.,1,Eve.,Cleans.,wash,neutral,neutral,Yes,No,Null.,Circular buffer.,Inside.,Circular.,Null.,Good.,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,,She is washed and scrubbed. A CIRCULAR BUFFER cleans between her head and body. It feels good.,,,,,,,,,,,,,,,
13,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,"EVE
	Earth.",Eve points to an OVERHEAD SCREEN.,0,Eve.,Points.,point,fast ,neutral,Yes,No,Screen.,Null.,Null.,Up.,Null.,Null.,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,The OVERHEAD SCREEN displays coordinates to Earth.,0,Screen.,Displays.,,neutral,neutral,No,No,Null.,Null.,Null.,Null.,Null.,Null.,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,,She points to an OVERHEAD SCREEN. It displays coordinates to Earth.,,,,,,,,,,,,,,,
14,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,"SHIP'S COMPUTER
	Ten, nine, eight, seven, six, five, four, three, two...",Pulls on the EMERGENCY EXIT LEVER.,0,Somebody.,Pulls.,,fast ,short,Yes,No,Lever.,Null.,On the ship.,Null.,Null.,Null.,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,,Pulls on the EMERGENCY EXIT LEVER. The hatch won't open!,,,,,,,,,,,,,,,
15,"She flies towards the debris field, when Wall-E whizzes right past her.","EVE
	No, no, no...",Eve flies towards the debris field.,0,Eve.,Flies.,fly,neutral,neutral,Yes,Yes,Debris field.,Null.,Null.,Null.,Null.,Null.,"She flies towards the debris field, when Wall-E whizzes right past her.",Wall-E whizzes right past Eve.,0,Wall-E.,Whizzes.,goForward,fast ,short,Yes,Yes,Null.,Null.,Null.,Null.,Null.,Null.,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,,"She flies towards the debris field, when Wall-E whizzes right past her.",,,,,,,,,,,,,,,
16,"He opens his compactor door. Pulls out the PLANT, still in the boot.","WALL-E
'Look what I've got'
	Ee-vah...",Wall-E opens Wall-E's compactor door.,0,Wall-E.,Opens.,open,fast ,short,Yes,No,Compactor door.,Null.,Null.,Null.,Null.,Null.,"He opens his compactor door. Pulls out the PLANT, still in the boot.","Wall-E pulls out the PLANT, still in the boot.",1,Wall-E.,Pulls.,,neutral,short,Yes,No,Plant.,Boot.,Null.,Null.,Null.,Null.,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,,"He opens his compactor door. Pulls out the PLANT, still in the boot.",,,,,,,,,,,,,,,
17,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,BING CROSBY'S 'STARDUST' PLAYS,The two fly around the stern of the ship.,0,Somebody.,Fly.,fly,neutral,long,Yes,Yes,Ship.,Null.,Null.,Around.,Null.,Null.,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,Wall-E does a few barrel rolls.,0,Wall-E.,Does.,,fast ,short,Yes,Yes,Null.,Null.,Null.,Null.,Null.,Null.,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,,The two fly around the stern of the ship. Wall-E does a few barrel rolls.,,,,,,,,,,,,,,,
18,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,"MARY
	Oooh...
recognizes Wall-E
	Hey, that's what's his name",Mary backs up.,0,Mary.,Backs up.,go,neutral,neutral,Yes,Yes,Wall-E.,Null.,Null.,Backwards.,Null.,Null.,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,Mary waves hello to Wall-E.,0,Mary.,Waves.,wave,neutral,neutral,Yes,No,Wall-E.,Null.,Null.,Null.,Null.,Null.,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,Mary bumps into JOHN'S HOVER CHAIR.,1,Mary.,Bumps.,hit,fast ,short,Yes,No,Chair.,Null.,Into JOHN'S HOVER CHAIR.,Null.,Null.,Null.,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,,She backs up to wave hello. Bumps into JOHN'S HOVER CHAIR.,,,,,,,,,,,,,,,
19,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,"JOHN
	Hey! What the",Mary leans over to John's armrest.,0,Mary.,Leans.,,neutral,short,Yes,No,Armrest.,Null.,Null.,Null.,Null.,Null.,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,Mary turns off John's holo-screen.,0,Mary.,Turns off.,push,fast ,short,Yes,No,Armrest.,Null.,Null.,Null.,Null.,Null.,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,Mary points out the window.,1,Mary.,Points.,point,neutral,long,Yes,No,Window.,Null.,Null.,Towards the window.,Null.,Null.,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,,Mary leans over to his armrest. Turns off his holo-screen. Points out the window.,,,,,,,,,,,,,,,
20,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,INT. BRIDGE,Auto busy operating the ship.,0,Auto.,Operating.,,neutral,neutral,No,No,Ship.,Null.,Bridge.,Null.,Busy.,Null.,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,Eve is outside the window.,0,Eve.,Is.,,neutral,neutral,No,No,Window.,Null.,Outside the window.,Null.,Null.,Null.,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,Wall-E is outside the window.,0,Wall-E.,Is.,,neutral,neutral,No,No,Window.,Null.,Outside the window.,Null.,Null.,Null.,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,Auto turns the SKY DIAL from DAY TO NIGHT.,1,Auto.,Turns.,turn,fast ,short,Yes,No,Dial.,Null.,Bridge.,Null.,Null.,Null.,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,,Auto busy operating the ship. Doesn't see Eve and Wall-E outside the window. Auto turns the SKY DIAL from DAY TO NIGHT.,,,,,,,,,,,,,,,
21,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,"SHIP'S COMPUTER (V.O.)
	'Hoedown' - a social gathering at which lively dancing would take place.",An aperture opens in the ceiling above.,0,Aperture.,Opens.,open,fast ,short,Yes,No,Ceiling.,Null.,In the ceiling.,Above.,Null.,Null.,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,Auto lowers down to face the Captain.,1,Auto.,Lowers.,,fast ,short,Yes,Yes,Captain.,Null.,From the ceiling.,Down.,Null.,Null.,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,,An aperture opens in the ceiling above. Auto lowers down to face the Captain.,,,,,,,,,,,,,,,
22,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,"EVE
	Directive.",Before Wall-E protests.,0,Wall-E.,Protests.,argue,fast ,short,No,No,Null.,Null.,Null.,Null.,Null.,Null.,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,Eve goes.,0,Eve.,Goes.,goForward,fast ,short,Yes,Yes,Null.,Null.,Null.,Null.,Null.,Null.,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,Eve zooms silently across the Lido Deck.,1,Eve.,Zooms.,goForward,fast ,neutral,Yes,Yes,Null.,Null.,Lido Deck.,Null.,Silently.,Null.,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,Eve goes up into the trash chute.,2,Eve.,Goes.,go,neutral,short,Yes,Yes,Trash chute.,Null.,Null.,Up.,Null.,Null.,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,,Before Wall-E can even protest she is gone. Zooms silently across the Lido Deck. Up into the trash chute.,,,,,,,,,,,,,,,
23,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,"CAPTAIN
	Wait...that doesn't look like Earth... Where's the blue sky...",The Captain looks over to the Captain's computer screen.,0,Captain.,Looks.,look,fast ,short,Yes,No,Computer screen.,Null.,Null.,To Captain's computer screen.,Null.,Null.,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,The Captain's computer screen displays BEAUTY IMAGES OF EARTH.,0,Captain.,Displays.,,neutral,neutral,No,No,Screen.,Null.,Null.,Null.,Null.,Null.,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,The Captain compares to Eve's screen.,1,Captain.,Compares.,look,neutral,neutral,No,No,Eve's screen.,Null.,Null.,Null.,Null.,Null.,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,,He looks over to his computer screen. The BEAUTY IMAGES OF EARTH still on display. Compares them with what plays on Eve's screen.,,,,,,,,,,,,,,,
24,She looks at her hands again.,"EVE
soft
	Wall-E...",Eve looks at Eve's hands again.,0,Eve.,Looks.,look,neutral,neutral,Yes,No,Hands.,Null.,Null.,Null.,Null.,Null.,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,,She looks at her hands again.,,,,,,,,,,,,,,,
25,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,AUTO,Auto lowers in front of her.,1,Auto.,Lowers.,,neutral,neutral,Yes,Yes,Somebody.,Null.,Null.,Down.,Null.,Null.,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,Auto spots the plant in the Captain's hand.,1,Auto.,Spots.,look,neutral,neutral,No,No,Captain's hand.,Null.,Null.,Null.,Null.,Null.,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,A113' flashes on Auto's lens.,1,Auto.,Flashes.,text,fast ,short,No,No,Lens.,Null.,Null.,Null.,Null.,Null.,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,,lowering in front of her. Auto spots the plant in the Captain's hand. 'A113' flashes on Auto's lens.,,,,,,,,,,,,,,,
26,It's over. The plant is gone. But in that frozen moment...,"CAPTAIN
	No!
		EVE
hums
	[Oh no!]",In that frozen moment.,0,Somebody.,Frozen.,,slow,long,No,No,Null.,Null.,Null.,Null.,Null.,Null.,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,,It's over. The plant is gone. But in that frozen moment...,,,,,,,,,,,,,,,
27,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,BACK IN THE CAPTAIN'S QUARTERS,Gopher salutes Auto.,0,Gopher.,Salutes.,wave,fast ,short,Yes,No,Auto.,Null.,Captain's quarters.,Null.,Null.,Null.,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,Gopher exits.,1,Gopher.,Exits.,go,fast ,short,Yes,Yes,Null.,Null.,Captain's quarters.,Null.,Null.,Null.,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,Auto turns to the Captain.,2,Auto.,Turns.,turn,fast ,neutral,Yes,No,Captain.,Null.,Captain's quarters.,Null.,Null.,Null.,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,Auto sees the Captain in shock.,2,Auto.,Sees.,look,neutral,long,No,No,Captain.,Null.,Captain's quarters.,Null.,Null.,Shock.,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,,Gopher salutes Auto and exits. Auto turns to the Captain. He is in shock.,,,,,,,,,,,,,,,
